"url","fetchedFrom","status","title","description","canonical","ogUrl","ogType","textLength","mainBodyPresent","flags"
"https://www.moscowmix.com/","http://127.0.0.1:3100/","200","Moscow Mix | Pure Copper Mugs and Natural Fire Starters","Moscow Mix creates solid 100% pure copper mugs and natural fire starters with authenticity and purity at their core.","https://www.moscowmix.com/","https://www.moscowmix.com","website","4958","true",""
"https://www.moscowmix.com/shop/copper","http://127.0.0.1:3100/shop/copper","200","Premium Pure Copper Mugs &amp; Drinkware | Moscow Mix","Shop 100% pure copper mugs, water bottles, and jugs crafted for cold drinks, considered hydration, and lasting use.","https://www.moscowmix.com/shop/copper","https://www.moscowmix.com/shop/copper","website","3342","true",""
"https://www.moscowmix.com/shop/fire","http://127.0.0.1:3100/shop/fire","200","Natural Wood Wool Fire Starters | Moscow Mix","Shop natural wood wool fire starters for fireplaces, camping, grilling, pizza ovens, and outdoor fires.","https://www.moscowmix.com/shop/fire","https://www.moscowmix.com/shop/fire","website","3202","true",""
"https://www.moscowmix.com/journal","http://127.0.0.1:3100/journal","200","Journal | Moscow Mix","Stories, guides, recipes, and practical advice about pure copper drinkware, Moscow Mules, natural fire starters, and considered living.","https://www.moscowmix.com/journal","https://www.moscowmix.com/journal","website","2141","true",""
"https://www.moscowmix.com/about","http://127.0.0.1:3100/about","200","Our Story | Moscow Mix","Discover Moscow Mix and our focus on pure copper drinkware, natural materials, practical craft, and products designed to last.","https://www.moscowmix.com/about","https://www.moscowmix.com/about","website","1467","true",""
"https://www.moscowmix.com/contact","http://127.0.0.1:3100/contact","200","Contact | Moscow Mix","Contact Moscow Mix for product, care, order, or partnership questions.","https://www.moscowmix.com/contact","https://www.moscowmix.com/contact","website","596","true",""
"https://www.moscowmix.com/journal/page/2","http://127.0.0.1:3100/journal/page/2","200","Journal – Page 2 | Moscow Mix","Browse page 2 of the Moscow Mix journal for copper drinkware guides, Moscow Mule ideas, recipes, fire-starting advice, and considered living.","https://www.moscowmix.com/journal/page/2","https://www.moscowmix.com/journal/page/2","website","2644","true",""
"https://www.moscowmix.com/journal/page/3","http://127.0.0.1:3100/journal/page/3","200","Journal – Page 3 | Moscow Mix","Browse page 3 of the Moscow Mix journal for copper drinkware guides, Moscow Mule ideas, recipes, fire-starting advice, and considered living.","https://www.moscowmix.com/journal/page/3","https://www.moscowmix.com/journal/page/3","website","2693","true",""
"https://www.moscowmix.com/journal/page/4","http://127.0.0.1:3100/journal/page/4","200","Journal – Page 4 | Moscow Mix","Browse page 4 of the Moscow Mix journal for copper drinkware guides, Moscow Mule ideas, recipes, fire-starting advice, and considered living.","https://www.moscowmix.com/journal/page/4","https://www.moscowmix.com/journal/page/4","website","2649","true",""
"https://www.moscowmix.com/journal/page/5","http://127.0.0.1:3100/journal/page/5","200","Journal – Page 5 | Moscow Mix","Browse page 5 of the Moscow Mix journal for copper drinkware guides, Moscow Mule ideas, recipes, fire-starting advice, and considered living.","https://www.moscowmix.com/journal/page/5","https://www.moscowmix.com/journal/page/5","website","2682","true",""
"https://www.moscowmix.com/journal/page/6","http://127.0.0.1:3100/journal/page/6","200","Journal – Page 6 | Moscow Mix","Browse page 6 of the Moscow Mix journal for copper drinkware guides, Moscow Mule ideas, recipes, fire-starting advice, and considered living.","https://www.moscowmix.com/journal/page/6","https://www.moscowmix.com/journal/page/6","website","2744","true",""
"https://www.moscowmix.com/journal/page/7","http://127.0.0.1:3100/journal/page/7","200","Journal – Page 7 | Moscow Mix","Browse page 7 of the Moscow Mix journal for copper drinkware guides, Moscow Mule ideas, recipes, fire-starting advice, and considered living.","https://www.moscowmix.com/journal/page/7","https://www.moscowmix.com/journal/page/7","website","2735","true",""
"https://www.moscowmix.com/journal/page/8","http://127.0.0.1:3100/journal/page/8","200","Journal – Page 8 | Moscow Mix","Browse page 8 of the Moscow Mix journal for copper drinkware guides, Moscow Mule ideas, recipes, fire-starting advice, and considered living.","https://www.moscowmix.com/journal/page/8","https://www.moscowmix.com/journal/page/8","website","2798","true",""
"https://www.moscowmix.com/journal/page/9","http://127.0.0.1:3100/journal/page/9","200","Journal – Page 9 | Moscow Mix","Browse page 9 of the Moscow Mix journal for copper drinkware guides, Moscow Mule ideas, recipes, fire-starting advice, and considered living.","https://www.moscowmix.com/journal/page/9","https://www.moscowmix.com/journal/page/9","website","2887","true",""
"https://www.moscowmix.com/journal/page/10","http://127.0.0.1:3100/journal/page/10","200","Journal – Page 10 | Moscow Mix","Browse page 10 of the Moscow Mix journal for copper drinkware guides, Moscow Mule ideas, recipes, fire-starting advice, and considered living.","https://www.moscowmix.com/journal/page/10","https://www.moscowmix.com/journal/page/10","website","3148","true",""
