"url","fetchedFrom","status","title","description","canonical","ogUrl","ogType","textLength","mainBodyPresent","flags"
"https://www.moscowmix.com/","https://www.moscowmix.com/","200","Moscow Mix | Pure Copper Mugs and Natural Fire Starters","Moscow Mix creates solid 100% pure copper mugs and natural fire starters with authenticity and purity at their core.","https://www.moscowmix.com/","https://www.moscowmix.com","website","4958","true",""
"https://www.moscowmix.com/shop/copper","https://www.moscowmix.com/shop/copper","200","Premium Pure Copper Mugs &amp; Drinkware | Moscow Mix","Shop 100% pure copper mugs, water bottles, and jugs crafted for cold drinks, considered hydration, and lasting use.","https://www.moscowmix.com/shop/copper","https://www.moscowmix.com","website","3342","true","og-url-mismatch"
"https://www.moscowmix.com/shop/fire","https://www.moscowmix.com/shop/fire","200","Natural Wood Wool Fire Starters | Moscow Mix","Shop natural wood wool fire starters for fireplaces, camping, grilling, pizza ovens, and outdoor fires.","https://www.moscowmix.com/shop/fire","https://www.moscowmix.com","website","3202","true","og-url-mismatch"
"https://www.moscowmix.com/journal","https://www.moscowmix.com/journal","200","Journal | Moscow Mix","Stories, guides, recipes, and practical advice about pure copper drinkware, Moscow Mules, natural fire starters, and considered living.","https://www.moscowmix.com/journal","https://www.moscowmix.com","website","2141","true","og-url-mismatch"
"https://www.moscowmix.com/about","https://www.moscowmix.com/about","200","Our Story | Moscow Mix","Discover Moscow Mix and our focus on pure copper drinkware, natural materials, practical craft, and products designed to last.","https://www.moscowmix.com/about","https://www.moscowmix.com","website","1467","true","og-url-mismatch"
"https://www.moscowmix.com/contact","https://www.moscowmix.com/contact","200","Contact | Moscow Mix","Contact Moscow Mix for product, care, order, or partnership questions.","https://www.moscowmix.com/contact","https://www.moscowmix.com","website","596","true","og-url-mismatch"
"https://www.moscowmix.com/product/premium-pure-copper-mugs-4-pk--(16oz)","https://www.moscowmix.com/product/premium-pure-copper-mugs-4-pk--(16oz)","200","Premium Pure Copper Mugs 4 PK  (16oz) | Moscow Mix","Crafted from 100% pure copper, this mug delivers the coldest, cleanest, most refreshing drink experience possible. The hammered finish adds grip, character, and premium texture. Perfect for Moscow Mules, cocktails, mocktails, or daily hydration.","https://www.moscowmix.com/product/premium-pure-copper-mugs-4-pk--(16oz)","https://www.moscowmix.com/product/premium-pure-copper-mugs-4-pk--(16oz)","website","2896","true",""
"https://www.moscowmix.com/product/premium-pure-copper-mugs-2-pk-(16oz)","https://www.moscowmix.com/product/premium-pure-copper-mugs-2-pk-(16oz)","200","Premium Pure Copper Mugs 2 PK (16oz) | Moscow Mix","Discover the enduring allure of pure copper with our exquisite 16oz 2 pack Moscow Mule mugs. Each piece is a testament to heritage craftsmanship, meticulously shaped for an elegant aesthetic and unparalleled drinking pleasure. Elevate your every moment with a touch of elemental luxury.","https://www.moscowmix.com/product/premium-pure-copper-mugs-2-pk-(16oz)","https://www.moscowmix.com/product/premium-pure-copper-mugs-2-pk-(16oz)","website","2944","true",""
"https://www.moscowmix.com/product/pure-copper-70-oz-water-pitcher-tall","https://www.moscowmix.com/product/pure-copper-70-oz-water-pitcher-tall","200","Pure Copper 70 Oz Water Pitcher Tall | Moscow Mix","Experience timeless elegance with our Pure Copper 70 Oz Water Pitcher, a refined heirloom-quality piece designed and handcrafted to grace any setting. Its elemental beauty and luxurious presence elevate simple hydration into a profound, healthful ritual.","https://www.moscowmix.com/product/pure-copper-70-oz-water-pitcher-tall","https://www.moscowmix.com/product/pure-copper-70-oz-water-pitcher-tall","website","2379","true",""
"https://www.moscowmix.com/product/pure-copper-70-oz-water-pitcher","https://www.moscowmix.com/product/pure-copper-70-oz-water-pitcher","200","Pure Copper 70 Oz Water Pitcher | Moscow Mix","Immerse yourself in a tradition of purity with our exquisite Pure Copper Water Pitcher. Our 70 OZ 100% copper jug&#x27;s radiant, elemental beauty is artisan-crafted to enrich your hydration ritual, transforming every pour into an act of luxurious, timeless well-being.","https://www.moscowmix.com/product/pure-copper-70-oz-water-pitcher","https://www.moscowmix.com/product/pure-copper-70-oz-water-pitcher","website","2378","true",""
"https://www.moscowmix.com/product/copper-mule-16oz","https://www.moscowmix.com/product/copper-mule-16oz","200","Premium Pure Copper Mugs 4 PK w/ Brass Handles (16oz) | Moscow Mix","Crafted from 100% pure copper, this mug delivers the coldest, cleanest, most refreshing drink experience possible. The hammered finish adds grip, character, and premium texture. Perfect for Moscow Mules, cocktails, mocktails, or daily hydration.","https://www.moscowmix.com/product/copper-mule-16oz","https://www.moscowmix.com/product/copper-mule-16oz","website","2884","true",""
"https://www.moscowmix.com/product/copper-water-bottle-34oz","https://www.moscowmix.com/product/copper-water-bottle-34oz","200","Pure Copper Water Bottle (34oz) | Moscow Mix","This bottle is crafted from single-sheet pure copper, designed to deliver refreshing hydration with a naturally purifying effect. Sleek, minimal, and durable for everyday use. No plastic, no steel taste, just clean copper.","https://www.moscowmix.com/product/copper-water-bottle-34oz","https://www.moscowmix.com/product/copper-water-bottle-34oz","website","2683","true",""
"https://www.moscowmix.com/product/fire-starters-150","https://www.moscowmix.com/product/fire-starters-150","200","Natural Wood Wool Fire Starters (150 pc) | Moscow Mix","Made from pure wood wool and natural wax, these fire starters ignite instantly and burn cleanly. Odorless, non-toxic, and capable of burning for up to 10 minutes. Safe for stoves, grills, fire pits, and camping.","https://www.moscowmix.com/product/fire-starters-150","https://www.moscowmix.com/product/fire-starters-150","website","2556","true",""
